TARGET,OEXP,POLARITY
This hotel,fantastic,StrongPositive
the staff,can 't do enough for you,Positive
They,friendly,Positive
They,funny,Positive
the staff,really helpfull,StrongPositive
the staff,friendly,Positive
room,with sea view,Positive
The food,good,Positive
The price,very reasonable,StrongPositive
the view,really amasing,StrongPositive
,felt very good,StrongPositive
holiday,Great !,StrongPositive
Our holiday,very nice,StrongPositive
it,enjoyed,Positive
The check · out,alright,Positive
the hotel,appreciate,Positive
the hotel,quiet,Positive
meal,delicious,StrongPositive
restaurant,offered,Positive
selection of different foods,great,StrongPositive
other member of staff,no was called to the reception,Negative
,Conveniently located,Positive
,close to the tube,Positive
bathroom,offers,Positive
bathroom,big,Positive
They,knowledgeable,Positive
They,very friendly,StrongPositive
The breakfast,delicious,StrongPositive
The rooms,comfortable,Positive
The rooms,neat,Positive
The rooms,very clean,StrongPositive
The rooms,wonderfully decorated,StrongPositive
street,safe,Positive
street,quiet,Positive
street,nice,Positive
bikes,Good quality,Positive
bikes,available,Positive
stay,wonderful,StrongPositive
Martha,fantastic,StrongPositive
Alphons,fantastic,StrongPositive
,will definitely be returning,StrongPositive
everything,offered,Positive
tea,offered,Positive
cheese,offered,Positive
coffee,offered,Positive
fruit,offered,Positive
breads,offered,Positive
juice,offered,Positive
chocolate sprinkles,offered,Positive
the bus stop,close,Positive
a supermarket,close,Positive
room,crappy,StrongNegative
night rest,no,Negative
food,horrible,StrongNegative
,Never again,StrongNegative
,loud,Negative
,noisy,Negative
price,as cheap hotel,Negative
price,same,Negative
sunbeds,plenty,Positive
food,excellent,StrongPositive
drinks,excellent,StrongPositive
hotel,Best,StrongPositive
service,first class,StrongPositive
coffee / tea,FREE,Positive
dinner portions,tiny,StrongNegative
the bed,candy,Positive
staff,very friendly,StrongPositive
French cuisine,delicious,StrongPositive
bed,unique,StrongPositive
surroundings,peaceful,Positive
surroundings,lovely,Positive
the little gift when leaving,awesome,StrongPositive
hotel,Absolutely gorgeous,StrongPositive
hotel,super relaxing,StrongPositive
the hotel rooms,excellent,StrongPositive
the bathrooms,very clean,StrongPositive
the bathrooms,large,Positive
hotel,Such a lovely,StrongPositive
everything,excellent,StrongPositive
the food,had such a variety,Positive
the whole think,a certain shabby touch,Negative
the staff,works without any friendly touch,Negative
The bath,even tinier,Negative
Matress,really soft,Negative
Matress,ok,Positive
the window,tiny,StrongNegative
the window,can 't open,Negative
the window,kind of hot,Negative
the rooms on the street side,extremly noisy,StrongNegative
Euro 20.00 for Wi · Fi,silly,Negative
low band,should be free,Negative
it,amazing,StrongPositive
the staff,cannot do enough for you,Positive
it 's own waterpark,great fun,StrongPositive
it 's own waterpark,has,Positive
it,ideally situated on the beach,Positive
water in the fridge,restocked daily,Positive
The hotel rooms,cleaned daily,Positive
The hotel rooms,really big,StrongPositive
The hotel rooms,spacious,Positive
soft drinks,free,Positive
The all inclusive,24 hours,Positive
hotel,Fantasic,StrongPositive
,Will definitely be returning,Positive
This hotel,fantasic,StrongPositive
Animation,great,StrongPositive
the turkish,the best restaurant,Positive
The staff,with some exceptions,Negative
The staff,very good,StrongPositive
the food,poor,Negative
shop workers,very persistent,StrongNegative
shop workers,One big minus,StrongNegative
Russians,the worst,StrongNegative
Russians,all together,Negative
the beach,not so good.The,Negative
Hotel,nice,Positive
the buffet,go.Avoid,Negative
everyone,very friendly,StrongPositive
The hotel,very big,StrongPositive
the hotel,built a few years ago,Positive
the hotel,very modern,StrongPositive
the hotel,not run down,Positive
hotel,Great,StrongPositive
hotel,directly on the strip,Positive
The hotel,very nice,StrongPositive
It,clean,Positive
The a la carte restaurant,good value,Positive
the fish restaurant,good value,Positive
The a la carte restaurant,excellent,StrongPositive
the fish restaurant,excellent,StrongPositive
The bungalow,excellent,StrongPositive
the pool guys,very pleasant,StrongPositive
the pool guys,always helped,Positive
The waiters,friendly,Positive
The waiters,helpful,Positive
The waiters,pleasant,Positive
holidays,one of the best,Positive
,could relax,Positive
,enjoy,Positive
the dress code,The only down,Negative
the help,received,Positive
holiday,enjoyable,Positive
the staff,couldn 't do enough,Positive
food,typical Tuscan,Positive
food,very good,StrongPositive
,near the sea,Positive
a lot of mosquitos,there are,Negative
It,in the middle of the pinewold,Negative
it,visit again,Positive
The atmosphere,very good,StrongPositive
bar,provided,Positive
two swimming · pools,provided,Positive
restourant,provided,Positive
supermarket,provided,Positive
many comforts,provided,Positive
employes,friendly,Positive
employes,Kind,Positive
pizza,special,Positive
The camping village,well · looked · after,Positive
The cottages,pretty,Positive
The cottages,very comfortable,StrongPositive
The cottages,clean,Positive
sauna area,Nice,Positive
choice,Great,StrongPositive
,feeling of luxury,Positive
,large,Positive
,Quiet,Positive
Staff,excellent,StrongPositive
Staff,helpful,Positive
Staff,friendly,Positive
Staff,polite,Positive
,will certainly come back,StrongPositive
plenty of variety,there was,Positive
It,all overcooked,Negative
It,luke warm !,Negative
the staff,delighed to talk to you !,Positive
the room,absolutely fine !,StrongPositive
The food,a disappointment,Negative
,Treated like Royalty !,Positive
The hotel,a little bit shabby,Negative
romms,big,Positive
romms,clean,Positive
disco,every night,Positive
show time,werent bored,Positive
show time,every evening,Positive
animation team,friendly,Positive
food,really good,StrongPositive
food,fresh,Positive
italian,recommend,Positive
can reserve a dinner in themed restaurant,nice,Positive
Topaz Club,worth a visit,Positive
this hotel,recommend,Positive
the hotel,Nothing to complain about,Positive
the room,Nothing to complain about,Positive
pool,Nothing to complain about,Positive
staff in the animation team,really friendly,StrongPositive
staff in the animation team,helpful,Positive
food,could had abit more variety,Negative
food,lovely,StrongPositive
get away,lovely,StrongPositive
The hotel staff,great,StrongPositive
the rest of the animation team,great,StrongPositive
animation team,really good help,Positive
animation team,really took care of us,Positive
food,very nice,StrongPositive
animation team,awesome,StrongPositive
people,great,StrongPositive
holiday,Great,StrongPositive
holiday resort,great,StrongPositive
it,recommend,Positive
The Hotel,very welcoming,StrongPositive
Staff,very welcoming,StrongPositive
stay,very enjoyable,StrongPositive
The food,excellent,StrongPositive
The food,buffet style,Positive
The food,international hotel food,Positive
this,recommend,Positive
the roads,very gridlocked,StrongNegative
the breakfast services,very disapointed,StrongNegative
the air condition,worked well,Positive
WIFI for free,not offering,Negative
WIFI for free,except in the lobby area,Positive
some services,can be better,Negative
interenet,evry slow,StrongNegative
location,Good,Positive
My room,very clean,StrongPositive
Location,absolutely top,StrongPositive
The service,really top of the line,StrongPositive
rooms,renovated,Positive
this one,rank among the top five of visits ever !,StrongPositive
style,very classy,StrongPositive
style,modern,Positive
Steigenberger Frankfurtter Hof,Go,Positive
place,great,StrongPositive
amenities,poor,Negative
bathroom,poor,Negative
it,very close to Waterloo,Positive
it,5 minutes walk to Big Bem,Positive
the room,very VERY little,StrongNegative
the price,central,Positive
location,central,Positive
,could hear everything from the rooms around,Negative
there,wouldn ´ t repeat,Negative
there,definately,StrongNegative
acoustic,Poor,Negative
acoustic,very bad,StrongNegative
location,just near the Great Wheel and the bridge,Positive
location,very central,Positive
hotel,Nice,Positive
the centre of Koln Altstadt,Within 7 minutes,Positive
access to the city and Messe,good,Positive
hotel,fine,Positive
The staff,the major downside,Negative
the service,ruined,Negative
property,stylish,Positive
property,clean,Positive
the hotel,in great condition,Positive
requests,not handled in a timely manner,Negative
requests,not handled,Negative
hotel,modern,Positive
the room,modern,Positive
hotel,attractive,Positive
the room,attractive,Positive
Service,bad,Negative
,feel happy,Positive
staff,very friendly,StrongPositive
te meals,enjoyed,Positive
service,excellent,StrongPositive
price,good,Positive
Aquagym,Ervery morning,Positive
rooms,large,Positive
holiday,wonderful,StrongPositive
hotel,wonderful,StrongPositive
hotel,confortable,Positive
holiday,wonderful,StrongPositive
holiday,enjoy,Positive
it,smelled terrible !,StrongNegative
Wireless Internet,free,Positive
Wireless Internet,pretty fast,Positive
a restaurant,There is,Positive
a bar,There is,Positive
Skype,may cause connection problems,Negative
The hotel,looks clean inside,Positive
The hotel,cannot be said from the outside,Negative
it,not that clean,Negative
hosts,friendly,Positive
Breakfast,super,StrongPositive
stay,quiet,Positive
the city,close,Positive
place,excellent,StrongPositive
hosts,excellent,StrongPositive
,Ideal for late arrivals,Positive
wellness facilities,good,Positive
wellness facilities.,good,Positive
the city center,just a 15min walk,Positive
a car · park,there is,Positive
The tram,stops just in front,Positive
hotel,Nice,Positive
hotel,Very nice,StrongPositive
the bathroom,like a toilet trailer,Negative
reception,there is no,Negative
Check · in,a machine which disclose your room card,Negative
it,Cheap,Positive
it,that is,Negative
the room,quite disgusting condition,Negative
this,a possibility,Negative
the bathroom,had mold between some tiles,Negative
the centre of Nes,really close,StrongPositive
The rooms,a lot smaller than expected,Negative
breakfast,really great,StrongPositive
the beach,within minutes with the bike,Positive
hotel,Nice,Positive
accomodation,Nice,Positive
stay at this hotel,prefer,Positive
hotel,comfortable,Positive
hotel,Very warm,StrongPositive
hotel,friendly,Positive
rooms,not big,Negative
rooms,clean,Positive
rooms,nice,Positive
,with bus stop to all airports,Positive
,Near Milano Centrale train station,Positive
bathrooms,comfortable,Positive
bathrooms,clean,Positive
staff,friendly,Positive
the rest,liked,Positive
in the rooms free water,would like,Negative
more fun evening,would like,Negative
surroundings,Beautiful,Positive
beach,nice,Positive
Food,always hot,Positive
Food,good always,Positive
The beach,there,Negative
The beach,always busy,Negative
The beach,had to get early to get a sunbed,Negative
5 restaurants,There are,Positive
they,very good,StrongPositive
Staff,friendly,Positive
Staff,helpful,Positive
choice,very good,StrongPositive
,pleasantly surprised,Positive
Our room,very clean,StrongPositive
the whole hotel,very clean,StrongPositive
problems with the heating,there were,Negative
The breakfast and diner aerea,freezing !,StrongPositive
actions,No were taken,Negative
The hotel,underconstruction,Negative
My old room,very old,StrongNegative
location,nice,Positive
All inclusive,was not exactly what received,Negative
extra,had to pay,Negative
RS375 off,an insult,Negative
All inclusive,meals in the main self sevice restaurant,Negative
All inclusive,does not include any other restaurant,Negative
,Lovely,Positive
,clean,Positive
the local fish market evening,extra,Negative
rooms,nice,Positive
wine,has to be paid extra,Negative
wine,There is no included,Negative
hotel,very good ! !,StrongPositive
it,nice,Positive
it,great,StrongPositive
people,very friendly,StrongPositive
people,good,Positive
people,helpfull,Positive
The room,"all in length , which isn 't the most convenient",Negative
The room,of decent size,Positive
Bathroom,well equipped,Positive
Bathroom,nice,Positive
view,great,StrongPositive
a rubber duck,including,Positive
,easy to reach by public transport,Positive
,close to metro,Positive
bed,comfortable,Positive
bed,large,Positive
breakfast,quite large,Positive
breakfast,tasty,Positive
breakfast,awesome,StrongPositive
Front desk,quite slow,Negative
Front desk,wasn 't the best,Negative
noise,a bit annoying,Negative
2 seats,included,Positive
a desk,included,Positive
location,Good,Positive
Our room,with a view on Nevskii,Positive
The service,excellent,StrongPositive
The pool bartenders,extremely pleasant,StrongPositive
The pool bartenders,always attentive,StrongPositive
time,excellent,StrongPositive
this resort,highly recommend,StrongPositive
all inclusive trip,Great !,StrongPositive
The resort,absolutely beautiful,StrongPositive
The food,great,StrongPositive
the service,very attentive,StrongPositive
location,in the heart of Gran Via,Positive
location,great,StrongPositive
The design,old,Negative
The room,good,Positive
it,in front of a subway station,Positive
it,needs a restoration,Negative
everything,works perfectly,StrongPositive
takeaway basket,free of charge,Positive
all,free of charge,Positive
staff,attentive,Positive
it,in an old building,Negative
location,Great,StrongPositive
this hotel,would never ever come back,StrongNegative
the money,not worth,Negative
there,Don 't go,Negative
the beach,the only nice thing,Positive
enough seats,There are not,Negative
enough seats,for dinner you have to wait in a queue,Negative
Rooms,very clean,StrongPositive
cinema,are available,Positive
swimming pools,are available,Positive
beaches,are available,Positive
video games,are available,Positive
tournaments,are available,Positive
music,are available,Positive
Employees,do their best to keep customers comfortable,Positive
Employees,very helpful,StrongPositive
Employees,kind,Positive
The employees,know most of world main languages,Positive
all kinds of food from different regions of the world,find,Positive
Hotel,Seven star,StrongPositive
The suprise for honeymooners,very special,StrongPositive
a lot,has been completed,Positive
a lot,beautified,Positive
grounds,beautifully landscaped,Positive
this hotel,has earned in some areas,Positive
the score,8 ! ! ! ! !,StrongPositive
facility,wonderful,StrongPositive
children 's playground,new,Positive
it,just great,StrongPositive
changes,nice,Positive
changes,Many,Positive
hotel,wonderful,StrongPositive
place to relax,nice,Positive
,a paradise,StrongPositive
food,A lot of,Positive
products,local,Positive
products,good,Positive
the service,superb,StrongPositive
all,can be recommended,Positive
all,enjoyed,Positive
hospitality,really great,StrongPositive
hospitality,looking forward to hear Calimera everywhere again,Positive
hospitality,enjoy,Positive
this hotel,have stolen our hearts,StrongPositive
vacation,excellent,StrongPositive
hospitality,Great,StrongPositive
The staff,really great,StrongPositive
,invite,Positive
,recomend,Positive
food,good,Positive
place,super,StrongPositive
place,fantastic,StrongPositive
staff,nice,Positive
work,good !,StrongPositive
,will go back,Positive
hotel,best,StrongPositive
rooms,Great,StrongPositive
rooms,clean,Positive
The staff,absolutely wonderful,StrongPositive
there,will certainly stay again,Positive
They,helpful,Positive
They,friendly,Positive
there,loved staying,Positive
there,have spoken very highly of this hotel to my friends and colleagues,Positive
a hotel with such staff,never have encountered,Positive
,Absolutely wonderful,StrongPositive
The Sheraton Hotel Jumeriah,highly recommendable,StrongPositive
Everything,absolutely perfect,StrongPositive
the linen,not fresh,Negative
it,got changed,Positive
Atmosphere,Great,StrongPositive
varieties of foods,Great,StrongPositive
work,good,Positive
nothing to complain,have,Positive
the place,could work a little on dusting better,Negative
Some of the items in the room,cracked,Negative
Some of the items in the room,old,Negative
the cabinets,re · purposed,Negative
spot,wonderful,Positive
spot,romantic,Positive
spot,cozy,Positive
decorative items,full of dust,Negative
some of the lamps,full of dust,Negative
the chair,damaged,Negative
The bed,exceptionally comfy,StrongPositive
This,should not deter you from staying !,Positive
The hotel,spectacular,StrongPositive
It,perfect for a romantic getaway,StrongPositive
It,very colorful,StrongPositive
breakfast selection,was impressed,StrongPositive
Check · in / Check · out,a piece of cake,StrongPositive
an upgrade to Executive suite,got,Positive
an upgrade to Executive suite,at no cost,Positive
The staff,prompt,Positive
The staff,courteous,Positive
The staff,very friendly,StrongPositive
cleanliness,Outbeaten,StrongPositive
The owners,don 't speak any English,Negative
,Mould in the shower,Negative
a bill,Didn 't recieve,Negative
Rooms,very loud,StrongNegative
,Bugs running on th floor,Negative
smell,Bad,Negative
winows,old,Negative
Rooms,dirty,Negative
Hotel,Horrible,StrongNegative
,Next to the city center Port Vieuz,Positive
elevator,no,Negative
Bath,wasn ' clean,Negative
Bath,empty shower bottle from guests before in shower,Negative
rooms,clean,Positive
The food,varieous,Positive
The food,good,Positive
4 restaurants,There were,Positive
Lagune,with boat to the beach,Positive
Lagune,nice,Positive
Rooms,very clean,StrongPositive
2 pools,heated,Positive
gardens,Beautifull,Positive
swimmingpools,Beautifull,Positive
choise,Good,Positive
meals,tasteful,Positive
hotel,clean,Positive
hotel,Good,Positive
That,a huge plus for us,Positive
the bathroom door,broken,Negative
,'ve stayed in better hotels,Negative
our reservation,messed up,Negative
that,compensated voucher to spend on food / shopping,Positive
the location,pretty good,StrongPositive
windows,cannot open,Negative
balcony,No,Negative
location,Good,Positive
location,expect better from this chain,Negative
location,right behind Flamingo,Positive
location,pretty good,StrongPositive
location,just a few steps from the strip,Positive
sea,very warm,StrongPositive
beach,nice,Positive
the hotel,a real 4star hotel,StrongPositive
the rooms,big,Positive
animation team,always trying to entertain people,Positive
staff,nice,Positive
,Nice,Positive
everything,quite good,Positive
time,great,StrongPositive
The location,PERFECT,StrongPositive
It,not clean,Negative
staff,not friendly at all,StrongNegative
everything else,negative,Negative
it,not safe,Negative
location,Only,Negative
this room,big enough,Positive
it,not recommending,Negative
LOCATION,BEST EVER,StrongPositive
Everybody,doing ther job exelent,StrongPositive
the cleanliness,very good,StrongPositive
The standard,in top,StrongPositive
every restaurant,in the top,StrongPositive
food,clean,Positive
food,very good,StrongPositive
hotel,The best,StrongPositive
everyone who is working,the most good peopel,StrongPositive
facility,bad,Negative
doors,can only be locked using keys,Negative
walls,not sound proof,Negative
the service,disaster,Negative
heaters,not warm at night,Negative
facilities,old,Negative
Hotel,Poor,Negative
The receptionists,not even close to trying to help,Negative
The receptionists,rude,Negative
breakfast,awful,StrongNegative
breakfast,costs 30 euro per person,Negative
breakfast,with little choices,Negative
Service,Poor,Negative
this,can not be a 4 · star hotel,Negative
This,can not be a 4 stars hotel,Positive
Breakfast,perfect,StrongPositive
Stay,too short,Negative
The staff,exceptionally friendly,StrongPositive
The staff,helpful,Positive
variety,nice,Positive
here,stay again,Positive
here,definently try,Positive
rooms,asking for renovation,Negative
rooms,rather used,Negative
The quality of food,with a wide range of things for breakfasts,Positive
The quality of food,excellent,StrongPositive
the hotel pool,Idem,Negative
jacuzzi area,Idem,Negative
the tram stop,just outside the hotel,Positive
with the cleanliness,had some issues,Negative
quality,average,Positive
traveling to the city centre,takes some time,Negative
the view of Lyon,admire,Positive
location,Good,Positive
the place,well served by public transport,Positive
The hotel,on the outskirts in Lyon,Negative
The hotel,next too the exhibition centre,Positive
worries about were to park,no,Positive
parking,free,Positive
subway station,near,Positive
room,renewed,Positive
room,Clean,Positive
The rooms with a small kitchen,highly recommended,StrongPositive
The staff,knowledgeable concerning special recommendations,Positive
The staff,very forthcoming,StrongPositive
Rimini,chic,Positive
Rimini,contemporary,Positive
hotel,very nice,StrongPositive
hotel,proximity to the beach as well as Rimini 's main thoroughfare,Positive
The spa,better than we hoped,Positive
wellness facilities,better than we hoped,Positive
this hotel,would certainly stay again,Positive
the breakfast,excellent,StrongPositive
The pool,very clean,StrongPositive
sauna,very clean,StrongPositive
jacuzzi,very clean,StrongPositive
The pool,relaxing,Positive
sauna,relaxing,Positive
jacuzzi,relaxing,Positive
the staff,friendly,Positive
The room,had all the comfort you need,Positive
it,wasn 't over · crowded,Positive
wellness facilities,Amazing,StrongPositive
The tables,clean,Positive
hotel,very nice,StrongPositive
hotel,4 · star,Positive
the bathrooms,large,Positive
the bathrooms,very clean,StrongPositive
hotel,Such a lovely,StrongPositive
everything,excellent,StrongPositive
the hotel rooms,excellent,StrongPositive
the food,such a variety,Positive
views,great,StrongPositive
stay,lovely,Positive
stay,be definitely back soon !,Positive
Food,delicious,StrongPositive
it,highly recommend !,StrongPositive
terrace,private,Positive
terrace,exceptionally large,StrongPositive
Melia Grand Hermitage,just awesome,StrongPositive
hotel,Fantastic,StrongPositive
everything,to make your holiday perfect,Positive
Hotel,nice,Positive
the buffet,go.Avoid,Negative
the turkish,the best restaurant,Positive
Animation,great,StrongPositive
The staff,very good,StrongPositive
The staff,with some exceptions,Negative
the food,poor,Negative
place,good,Positive
the beach,not so good.The,Negative
business centers,too few,Negative
the gym,with great views,Positive
one,closed,Negative
stay,great,StrongPositive
The breakfast,one of a kind,Positive
tanning,with sauna,Positive
massage,with sauna,Positive
steam bath,with sauna,Positive
the Pool / Spa,with sauna,Positive
coffee machine,there was,Positive
Room size,good,Positive
relaxation area,there were,Positive
towels,there were,Positive
Bathroom,rather small,Negative
It,was not big,Negative
view,nice,Positive
Reception staff,very friendly,StrongPositive
rooftop swimming pool,loved,StrongPositive
it,not cleaned properly,Negative
washbasin was in the room,great idea,StrongPositive
room,not clean enough,Negative
Location,2 blocks form the beach,Positive
7th year,spending holidays in this hotel,Positive
,Relax,Positive
no much to say,There is,Positive
opportunitys,a lot of,Positive
the rooms,new renovarted,Positive
,very clean,StrongPositive
,fine.,Positive
style.,luxury,Positive
style.,modern,Positive
hotel,ideal,StrongPositive
,Sensational located,StrongPositive
hotel,superfriendly,StrongPositive
,Top of the Tops,StrongPositive
the staff,frienly,Positive
attitude,good,Positive
,Perfect,StrongPositive
smiles,good,Positive
entertaintments,good,Positive
their mood,good,Positive
i,never laughed so much,Positive
Monmarte,really near,StrongPositive
train stations,near,Positive
buses,near,Positive
Metro,near,Positive
this part of the city,not so crowded,Positive
location,excellent,StrongPositive
Staff,understanding,Positive
Staff,not the most positive persons in the world,Negative
Staff,helpful,Positive
it,quite nice if you don 't expect much,Positive
it,small,Negative
place,great,StrongPositive
French hotel,Cozy,Positive
French hotel,near to Monmarte,Positive
hotel,french style,Positive
hotel,really cozy,StrongPositive
it,a bit run down now,Negative
option,decent,Positive
budget option,Good,Positive
budget option,bit rundown,Negative
price,good,Positive
the Luxor,was a much better hotel,Negative
the waiters in pirates bar,funny,Positive
the waiters in pirates bar,could speak good English,Positive
the pool,well looked after,Positive
the beach,could do with less jelly fish,Negative
the beach,well looked after,Positive
the rooms,big,Positive
the rooms,clean,Positive
the food,ok,Positive
the food,could be a little improved,Negative
,had a brilliant time,Positive
,looking to come back next year,Positive
many different activities,found,Positive
the animation,amazing,StrongPositive
the service,great !,StrongPositive
The restaurant,good,Positive
The sauna,a little bit small,Negative
two,nice,Positive
two,clean,Positive
two,there are only,Negative
for vegetarian choice,too little,Negative
wellness · hotel,beautiful,Positive
The hotel,nice,Positive
The hotel,clean,Positive
location,walking distance from the main station,Positive
breakfast,Poor,Negative
This hotel,needs renovation,Negative
This hotel,very old,StrongNegative
heating system,bad,Negative
towels,grey,Negative
rooms,dark,Negative
rooms,with very basic comfort,Negative
rooms,Tiny,StrongNegative
bed linen,Cheap,Negative
,Looks more like a hostel,Negative
hotel,Old,Negative
hotel,very tired,StrongNegative
price,relatively low comparing to other centrally located hotels,Positive
windows,Thick,Negative
weather in feb,35 / 40 degrees,Positive
food,catered for all different cultures and tastes.we,Positive
food,supburb,StrongPositive
a cottage,spacious.the,Positive
a cottage,on the beach front,Positive
a cottage,very comfortable,StrongPositive
a cottage,clean,Positive
this hotel,reccomend very higly,StrongPositive
all inclusive beer,welcome.would,Positive
this holiday,Enjoyed so much,Positive
this holiday,will be booking again for 2014,Positive
this holiday,booked again for the following year,Positive
lots of extras.the,were given,Positive
Breakfast,very mediocre,StrongNegative
Beds,not up to par,Negative
,Very akward,StrongNegative
Rooms,noisy,Negative
This hotel,experienced in making money,Negative
This hotel,very sneaky,StrongNegative
small fridge,incl.,Positive
Staff,not talk English very well,Negative
there,would not go again,Negative
bread,too hard,Negative
,Over · rated,Negative
Executive room,better looking,Positive
Executive room,just standard size room,Negative
,Really gross,StrongNegative
staff members,always smiling,Positive
staff members,helpful,Positive
country,Genuine,Positive
people,Genuine,Positive
destination,genuine,Positive
destination,peaceful,Positive
executive chef,always there to answer your queries,Positive
his team,helpful,Positive
the executive chef,helpful,Positive
his team,very friendly,StrongPositive
the executive chef,very friendly,StrongPositive
his team,always ready to go beyond expectation,Positive
the executive chef,always ready to go beyond expectation,Positive
food,great,StrongPositive
,will visit the hotel again,Positive
the sous chef,always checking the food to be hot and fresh,Positive
performance,poor,Negative
the restaurant managers,dull,Negative
the staff,dull,Negative
The food and beverage manager,never had a smile,Negative
The food and beverage manager,neither greeted the guests,Negative
Excecutive chef,excellent,StrongPositive
his team,excellent,StrongPositive
food,great,StrongPositive
cooks,smiling,Positive
food,Fantastic,StrongPositive
the room,cleaned every day !,StrongPositive
that,really liked,Positive
Service,good,Positive
Service,friendly,Positive
breakfast,a little bit expensive,Negative
rooms,nice,Positive
Hotel,good,Positive
room,hade,Positive
room,bigger,Positive
room,with a place to relax and sit down,Positive
beach,clean,Positive
rooms,have tea coffee making facilties,Positive
rooms,large,Positive
rooms,mini fridge.,Positive
rooms,nice,Positive
choice of drinks,limited,Negative
sunbeds,loads of,Positive
the spa,excellent,StrongPositive
some aircraft noise,get,Negative
some aircraft noise,close to airport,Negative
ever.staff,friendly.,Positive
ever.staff,so kind,Positive
back massage,the best,StrongPositive
cocktails.,lovely,Positive
all rounder,Good,Positive
hotel,really nice,StrongPositive
it,will like,Positive
rooms,well laid out,Positive
rooms,over look the pool.,Positive
,enjoyed very much,StrongPositive
staff,very friendly,StrongPositive
Food,very good,StrongPositive
the leisure activities,enjoyed,Positive
staff,friendly,Positive
food,good,Positive
holidays,Perfect,StrongPositive
location,perfect,StrongPositive
an ash tray,there was not,Negative
forks,too dirty.entertainment,Negative
glasses,too dirty.entertainment,Negative
dishes,too dirty.entertainment,Negative
knifes,too dirty.entertainment,Negative
forks,not clean,Negative
glasses,not clean,Negative
dishes,not clean,Negative
knifes,not clean,Negative
drink,not variuos,Negative
room.staff,so helpful,Positive
food,good,Positive
some of them,not kind,Negative
it,had to pay for,Negative
,Unforgettable,StrongPositive
view of our room,beautiful,Positive
our mini bar,empty,Negative
programme,good,Positive
live show,good,Positive
most of music,not international,Negative
animation club,great,StrongPositive
everything from fun,can find,Positive
food,all kind of,Positive
holiday,super,StrongPositive
holiday,Great,StrongPositive
holiday.really,my best,StrongPositive
everybody,friendly,Positive
bedding,good,Positive
towels,good,Positive
mostly all of the sight seeng,within the walking distance,Positive
Room,enough space,Positive
Room,good,Positive
it,surprisingly quite,Positive
bed,comfy,Positive
value for money,Good,Positive
,5 minute walk from Gran Via,Positive
reception personnel,friendly,Positive
reception personnel,Straight forward,Positive
reception personnel,kindly helped,Positive
shower,good,Positive
,come back,Positive
The atmosphere,right,Positive
it,very cozy,StrongPositive
staff,would have to change,Negative
staff,rude,Negative
The hotel,very nice,StrongPositive
The hotel,nor too small,Positive
The hotel,not too big,Positive
holiday,very nice,Positive
holiday,with small faults,Negative
they,"trying very , very , very friendly",StrongPositive
hotel,small,Positive
hotel,with all the shops around,Positive
all noise,easy to sleep,Positive
all noise,held away,Positive
breakfast,good,Positive
The halls,fancy,Positive
The street,very alive,Positive
The room,small,Negative
The room,provided everything one needs,Positive
The room,nothing extra,Negative
money for value,a little low,Negative
price,OK,Positive
hotel,grubby,Negative
hotel,small,Negative
hotel,charming,Positive
juices,fresh,Positive
croissants,typical,Positive
Hotel Massena,perfectly located,StrongPositive
The rates,low,Positive
here,would probably not stay,Negative
it,starting to show its age,Negative
choices,Not one of the best,Negative
bed,there was,Positive
shower,in other part,Positive
toilet,in other part,Positive
wash basin,in other part,Positive
condition of the room,Disadvantages,Negative
size,Disadvantages,Negative
My room,claustrophobic,StrongNegative
My room,very small,StrongNegative
lift,There is,Positive
,had to squeeze in order to fit between the shower and wall to get to the toilet,Negative
soap,There was provided,Positive
tv,old,Negative
,Not coming back,Negative
window,without the view,Negative
it,located in the center,Positive
it,cheap,Positive
caffees,there are many nearby,Positive
shops,there are many nearby,Positive
restaurants,there are many nearby,Positive
the staff,kindness,Positive
time,the most wonderfull,StrongPositive
the food,delicious,StrongPositive
vacationd,Excellent,StrongPositive
honeymoon,Excellent,StrongPositive
vacation,the best,StrongPositive
Everything,great,StrongPositive
the hotel,not cozy,Negative
view of the mountains from my balcony,very nice,StrongPositive
sauna,liked,Positive
pool area,liked,Positive
hamam,liked,Positive
sauna,spacious,Positive
pool area,spacious,Positive
hamam,spacious,Positive
palace,not very well utilized,Negative
palace,huge,Positive
the only one visitor,was,Negative
the service,does not yet match,Negative
speed,decent,Positive
wifi,Free,Positive
Location,little far from city center,Negative
my 3 · night stay,enjoyed,Positive
the room,well equipped,Positive
the room,too huge,Negative
the room,very clean,StrongPositive
One bed,with twin mattresses,Negative
everything,very average,Negative
the room,nothing modern,Negative
Restaurant,quite nice,Positive
it,just functional,Negative
average,OK,Positive
the room,rather underwhelming,Negative
Sultana Café,really worth a visit,Positive
they,kinda rude,Negative
the shopping center in the hotel,really bad,StrongNegative
the whole experience,nice,Positive
the whole experience,worth it,Positive
Mamlouk,great !,StrongPositive
Mamlouk resort,great,StrongPositive
He,service minded,Positive
He,really kind,StrongPositive
views,Beautiful,Positive
the layout,superb,StrongPositive
the sea,a few steps from our hotel room,StrongPositive
the architecture,elegant,Positive
staff,friendly,Positive
honeymoon,Beautiful,Positive
establishments,one of the classiest,Positive
The staff,extremely friendly,StrongPositive
here,never come back,StrongNegative
here,not safe,Negative
Busdriver Peter Langhout,helpful,Positive
Busdriver Peter Langhout,understanding,Positive
